abbreviation,meaning
ă,á
â,á
ế,á
í,á
àh,à
ak,à
àk,à
òh,à
uh,à
ạh,ạ
nạ,ạ
ợ,ạ
adidaphat,a di đà phật
adu,á đù
anlonroi,ăn lồn rồi
asxh,an sinh xã hội
a,anh
ank,anh
bro,anh
broh,anh
ãnh,ảnh
ac,anh chị
avt,ảnh đại diện
ae,anh em
anhem,anh em
ahbp,anh hùng bàn phím
av,anh văn
atsm,ảo tưởng sức mạnh
ars,arsenal
be,ba
pa,ba
bã,bà ấy
bả,bà ấy
aba,ba rọi béo
abe,ba rọi béo
bagà,ba rọi béo
baroibeo,ba rọi béo
boác,bác
silver,bạc
backinh,bắc kinh
bake,bắc kỳ
pake,bắc kỳ
bạck,bạch
bổn,bản
b,bạn
bạng,bạn
fen,bạn
lỉ,bạn
pạn,bạn
bgk,ban giám khảo
bằg,bằng
bvs,băng vệ sinh
báh,bánh
pảnh,bảnh
pảnk,bảnh
bĩu,bảo
report,báo cáo
rp,báo cáo
bcs,bao cao su
bjo,bao giờ
bhxh,bảo hiểm xã hội
bnhieu,bao nhiêu
bnhiu,bao nhiêu
bve,bảo vệ
bat,bắt
pắt,bắt
bđ,bắt đầu
bđs,bất động sản
bg,bây giờ
bgio,bây giờ
bh,bây giờ
pé,bé
bede,bê đê
beđe,bê đê
bêđê,bê đê
beh,bệnh
bj,bị
biếc,biết
bik,biết
bík,biết
bit,biết
bít,biết
bjt,biết
bk,biết
pik,biết
pít,biết
pt,biết
logo,biểu tượng
bdân,bình dân
cmt,bình luận
blv,bình luận viên
bth,bình thường
bthg,bình thường
pò,bò
pô,bô
pố,bố
bõ,bỏ
bdg,bộ giáo dục
bgdđt,bộ giáo dục đào tạo
bame,bố mẹ
bme,bố mẹ
bome,bố mẹ
bm,bỏ mẹ
botay,bó tay
bmay,bọn mày
bno,bọn nó
póng,bóng
pro,bro
bucu,bú cặc
buk,bực
qạo,bực tức
quạu,bực tức
wuạo,bực tức
xù,bùng
bưg,bưng
bụg,bụng
bùi,buồi
puồi,buồi
bũi,buổi
buốn,buồn
puồn,buồn
bcuoi,buồn cười
pút,bút
cakhia,cà khịa
cf,cà phê
cfe,cà phê
cak,cặc
cặt,cặc
cật,cặc
cec,cặc
cẹc,cặc
cẹt,cặc
kặc,cặc
kẹc,cặc
cacban,các bạn
cmang,cách mạng
caj,cái
kai,cái
kéi,cái
cdb,cái đầu buồi
cđb,cái đầu buồi
cdg,cái đéo gì
wtf,cái đéo gì thế
caiditmemay,cái địt mẹ mày
cgi,cái gì
cailon,cái lồn
cailoz,cái lồn
cl,cái lồn
cailoncat,cái lồn cát
cailoncatkhong,cái lồn cát không
cailozcatkhong,cái lồn cát không
clg,cái lồn gì
clj,cái lồn gì
clgt,cái lồn gì thế
clgv,cái lồn gì vậy
cljv,cái lồn gì vậy
clm,cái lồn mẹ
clmn,cái lồn mẹ nó
cmg,cái mẹ gì
cbcs,cán bộ cảnh sát
càg,càng
csbv,cảnh sát bảo vệ
cscđ,cảnh sát cơ động
csgt,cảnh sát giao thông
kout,cao
level,cấp
lv,cấp
cạu,cậu
clb,câu lạc bộ
chs,chả hiểu sao
Chăk,chắc
choán,chán
hi,chào
hj,chào
acp,chấp nhận
ckat,chất
trất,chất
truất,chất
chít,chết
chớt,chết
cht,chết
chetme,chết mẹ
cm,chết mẹ
cmnr,chết mẹ nó rồi
chj,chị
chuỵ,chị
chụy,chị
cị,chị
cj,chị
sister,chị
xị,chị
ce,chị em
cy,chị yêu
ctay,chia tay
chym,chim
trym,chim
cko,cho
choá,chó
chổ,chỗ
trol,chơi khăm
ck,chồng
chũ,chủ
chớ,chứ
thớt,chủ đề
thread,chủ đề
cnsc,chủ nghĩa cộng sản
cnxh,chủ nghĩa xã hội
ch,chưa
cbi,chuẩn bị
cmnm,chúc mừng năm mới
cmsn,chúc mừng sinh nhật
chữi,chửi
dis,chửi
đjs,chửi
chug,chung
chũng,chủng
chừg,chừng
chừn,chừng
cktg,chung kết thế giới
cmay,chúng mày
cmnd,chứng minh nhân dân
cno,chúng nó
cnó,chúng nó
ctrinh,chương trình
chiện,chuyện
chx,chuyện
chz,chuyện
fans,chuyển giới
líp,clip
coa,có
fa,cô đơn mãi mãi
codonqua,cô đơn quá
kọc,cọc
koi,coi
kon,con
concac,con cặc
concard,con cặc
cđ,con đĩ
condi,con đĩ
cđl,con đĩ lồn
condime,con đĩ mẹ
cgai,con gái
cmnđ,con mẹ nó đi
ctrai,con trai
côg,công
plus,cộng
can,công an
lgbt,cộng đồng giới tính thứ ba
cdm,cộng đồng mạng
chxhcnvn,cộng hoà xã hội chủ nghĩa việt nam
csvn,cộng sản việt nam
cty,công ty
coronaviruswuhan,corona vi rút vũ hán
covi,covid
covis,covid
cuvid,covid
ciu,cu
ku,cu
ex,cũ
cktp,cực kỳ thuyết phục
cg,cũng
cug,cũng
cũg,cũng
củng,cũng
cx,cũng
kug,cũng
cưg,cưng
kưg,cưng
kưng,cưng
cừ,cười
cừi,cười
cuoi,cười
smile,cười
lmao,cười tụt cả mông
ks,cướp mạng
kut,cút
cức,cứt
shit,cứt
siệt,cứt
cíu,cứu
dza,dạ
dzạ,dạ
đl,đà lạt
đn,đà nẵng
đnăng,đà nẵng
zái,dái
giãi,dãi
dái,đái
đbqh,đại biểu quốc hội
đạika,đại ca
đh,đại học
đhcn,đại học công nghệ
cọp,dần
ngưu,dần
đag,đang
dg,đang
đảg,đảng
đoảng,đảng
đcs,đảng cộng sản
đky,đăng ký
sub,đăng ký
subrai,đăng ký
subscribe,đăng ký
quính,đánh
review,đánh giá
rv,đánh giá
bủm,đánh rắm
ord,đặt hàng
order,đặt hàng
đou,đâu
đôu,đâu
db,đầu buồi
đb,đầu buồi
đei,đây
đêi,đây
đếy,đấy
dể,dễ
easy,dễ
ez,dễ
zễ,dễ
đẽ,đẻ
deso,dễ sợ
ds,dễ sợ
cute,dễ thương
cutoe,dễ thương
dethuong,dễ thương
dth,dễ thương
dthuong,dễ thương
dthw,dễ thương
kewt,dễ thương
kute,dễ thương
đách,đếch
đachlone,đếch lồn
đ,đéo
đếch,đéo
dek,đéo
đek,đéo
đel,đéo
deo,đéo
dew,đéo
đoé,đéo
ếu,đéo
méo,đéo
deodcroi,đéo được rồi
dhs,đéo hiểu sao
txuc,tiếp xúc
cta,chúng ta
bhyt,bảo hiểm y tế
đhs,đéo hiểu sao
đlq,đéo liên quan
đtrai,đẹp trai
đz,đẹp trai
đzai,đẹp trai
đê,đi
dj,đi
đy,đi
đỉ,đĩ
đuỹ,đĩ
đũy,đĩ
đỷ,đĩ
phò,đĩ
dicho,đĩ chó
mobi,di động
mobile,di động
đchi,địa chỉ
đjch,địch
tele,dịch chuyển
teleport,dịch chuyển
cave,điếm
đt,điện thoại
đth,điện thoại
đthoai,điện thoại
dv,diễn viên
zịu,diệu
đìu,điều
dink,đỉnh
chịch,địt
dịt,địt
diz,địt
điz,địt
djt,địt
đjt,địt
đuỵt,địt
dyt,địt
đỵt,địt
lịt,địt
nựng,địt
phang,địt
xoạc,địt
cb,địt con mẹ
cđm,địt con mẹ
dcm,địt con mẹ
đcm,địt con mẹ
đitconme,địt con mẹ
dkm,địt con mẹ
đkm,địt con mẹ
đitconmemay,địt con mẹ mày
dkmn,địt con mẹ nó
djtcu,địt cụ
đệch,địt mẹ
đệt,địt mẹ
ditme,địt mẹ
địtmẹ,địt mẹ
djtme,địt mẹ
đjtme,địt mẹ
dm,địt mẹ
đm,địt mẹ
đme,địt mẹ
phắc,địt mẹ
dmca,địt mẹ công an
dmcsvn,địt mẹ cộng sản việt nam
ditmevualonetaolam,địt mẹ vừa lòng tao lắm
zơ,dơ
giở,dở
đoá,đó
ó,đó
mixi,độ mixi
zối,dối
đvi,đơn vị
đná,đông nam á
rữ,dữ
zữ,dữ
dou,đụ
duconme,đụ con mẹ
dl,du lịch
dlv,dư luận viên
douma,đụ má
đouma,đụ má
đụma,đụ má
dume,đù mẹ
dmie,đụ mẹ
duma,đụ mẹ
dumoe,đụ mẹ
đumoe,đụ mẹ
dmcs,đụ mẹ cộng sản
đmcs,đụ mẹ cộng sản
đúg,đúng
